Date,Group,Item,Value
1971-08-01,Rural goods,Rural goods,178
1971-09-01,Rural goods,Rural goods,169
1971-10-01,Rural goods,Rural goods,162
1971-11-01,Rural goods,Rural goods,172
1971-12-01,Rural goods,Rural goods,169
1972-01-01,Rural goods,Rural goods,183
1972-02-01,Rural goods,Rural goods,183
1972-03-01,Rural goods,Rural goods,205
1972-04-01,Rural goods,Rural goods,202
1972-05-01,Rural goods,Rural goods,242
1972-06-01,Rural goods,Rural goods,210
1972-07-01,Rural goods,Rural goods,186
1972-08-01,Rural goods,Rural goods,231
1972-09-01,Rural goods,Rural goods,228
1972-10-01,Rural goods,Rural goods,238
1972-11-01,Rural goods,Rural goods,252
1972-12-01,Rural goods,Rural goods,230
1973-01-01,Rural goods,Rural goods,323
1973-02-01,Rural goods,Rural goods,279
1973-03-01,Rural goods,Rural goods,296
1973-04-01,Rural goods,Rural goods,254
1973-05-01,Rural goods,Rural goods,325
1973-06-01,Rural goods,Rural goods,298
1973-07-01,Rural goods,Rural goods,253
1973-08-01,Rural goods,Rural goods,277
1973-09-01,Rural goods,Rural goods,260
1973-10-01,Rural goods,Rural goods,298
1973-11-01,Rural goods,Rural goods,272
1973-12-01,Rural goods,Rural goods,257
1974-01-01,Rural goods,Rural goods,300
1974-02-01,Rural goods,Rural goods,310
1974-03-01,Rural goods,Rural goods,273
1974-04-01,Rural goods,Rural goods,244
1974-05-01,Rural goods,Rural goods,340
1974-06-01,Rural goods,Rural goods,289
1974-07-01,Rural goods,Rural goods,233
1974-08-01,Rural goods,Rural goods,233
1974-09-01,Rural goods,Rural goods,262
1974-10-01,Rural goods,Rural goods,235
1974-11-01,Rural goods,Rural goods,235
1974-12-01,Rural goods,Rural goods,242
1975-01-01,Rural goods,Rural goods,314
1975-02-01,Rural goods,Rural goods,314
1975-03-01,Rural goods,Rural goods,294
1975-04-01,Rural goods,Rural goods,293
1975-05-01,Rural goods,Rural goods,312
1975-06-01,Rural goods,Rural goods,312
1975-07-01,Rural goods,Rural goods,301
1975-08-01,Rural goods,Rural goods,301
1975-09-01,Rural goods,Rural goods,260
1975-10-01,Rural goods,Rural goods,302
1975-11-01,Rural goods,Rural goods,276
1975-12-01,Rural goods,Rural goods,285
1976-01-01,Rural goods,Rural goods,330
1976-02-01,Rural goods,Rural goods,330
1976-03-01,Rural goods,Rural goods,373
1976-04-01,Rural goods,Rural goods,356
1976-05-01,Rural goods,Rural goods,313
1976-06-01,Rural goods,Rural goods,411
1976-07-01,Rural goods,Rural goods,376
1976-08-01,Rural goods,Rural goods,376
1976-09-01,Rural goods,Rural goods,387
1976-10-01,Rural goods,Rural goods,349
