Date,Group,Item,Value
1981-07-01,Consumption goods,Consumption goods,-362
1981-08-01,Consumption goods,Consumption goods,-371
1981-09-01,Consumption goods,Consumption goods,-386
1981-10-01,Consumption goods,Consumption goods,-382
1981-11-01,Consumption goods,Consumption goods,-402
1981-12-01,Consumption goods,Consumption goods,-349
1982-01-01,Consumption goods,Consumption goods,-374
1982-02-01,Consumption goods,Consumption goods,-383
1982-03-01,Consumption goods,Consumption goods,-460
1982-04-01,Consumption goods,Consumption goods,-333
1982-05-01,Consumption goods,Consumption goods,-391
1982-06-01,Consumption goods,Consumption goods,-402
1982-07-01,Consumption goods,Consumption goods,-417
1982-08-01,Consumption goods,Consumption goods,-444
1982-09-01,Consumption goods,Consumption goods,-431
1982-10-01,Consumption goods,Consumption goods,-418
1982-11-01,Consumption goods,Consumption goods,-465
1982-12-01,Consumption goods,Consumption goods,-407
1983-01-01,Consumption goods,Consumption goods,-338
1983-02-01,Consumption goods,Consumption goods,-365
1983-03-01,Consumption goods,Consumption goods,-420
1983-04-01,Consumption goods,Consumption goods,-345
1983-05-01,Consumption goods,Consumption goods,-407
1983-06-01,Consumption goods,Consumption goods,-399
1983-07-01,Consumption goods,Consumption goods,-437
1983-08-01,Consumption goods,Consumption goods,-523
1983-09-01,Consumption goods,Consumption goods,-443
1983-10-01,Consumption goods,Consumption goods,-481
1983-11-01,Consumption goods,Consumption goods,-507
1983-12-01,Consumption goods,Consumption goods,-460
1984-01-01,Consumption goods,Consumption goods,-463
1984-02-01,Consumption goods,Consumption goods,-479
1984-03-01,Consumption goods,Consumption goods,-459
1984-04-01,Consumption goods,Consumption goods,-393
1984-05-01,Consumption goods,Consumption goods,-563
1984-06-01,Consumption goods,Consumption goods,-484
1984-07-01,Consumption goods,Consumption goods,-559
1984-08-01,Consumption goods,Consumption goods,-599
1984-09-01,Consumption goods,Consumption goods,-596
1984-10-01,Consumption goods,Consumption goods,-621
1984-11-01,Consumption goods,Consumption goods,-592
1984-12-01,Consumption goods,Consumption goods,-571
1985-01-01,Consumption goods,Consumption goods,-558
1985-02-01,Consumption goods,Consumption goods,-579
1985-03-01,Consumption goods,Consumption goods,-520
1985-04-01,Consumption goods,Consumption goods,-565
1985-05-01,Consumption goods,Consumption goods,-658
1985-06-01,Consumption goods,Consumption goods,-628
1985-07-01,Consumption goods,Consumption goods,-755
1985-08-01,Consumption goods,Consumption goods,-776
1985-09-01,Consumption goods,Consumption goods,-690
1985-10-01,Consumption goods,Consumption goods,-765
1985-11-01,Consumption goods,Consumption goods,-719
1985-12-01,Consumption goods,Consumption goods,-747
1986-01-01,Consumption goods,Consumption goods,-697
1986-02-01,Consumption goods,Consumption goods,-621
1986-03-01,Consumption goods,Consumption goods,-595
1986-04-01,Consumption goods,Consumption goods,-704
1986-05-01,Consumption goods,Consumption goods,-639
1986-06-01,Consumption goods,Consumption goods,-644
1986-07-01,Consumption goods,Consumption goods,-764
1986-08-01,Consumption goods,Consumption goods,-764
1986-09-01,Consumption goods,Consumption goods,-775
1986-10-01,Consumption goods,Consumption goods,-846
1986-11-01,Consumption goods,Consumption goods,-643
1986-12-01,Consumption goods,Consumption goods,-740
1987-01-01,Consumption goods,Consumption goods,-653
1987-02-01,Consumption goods,Consumption goods,-667
1987-03-01,Consumption goods,Consumption goods,-647
1987-04-01,Consumption goods,Consumption goods,-626
1987-05-01,Consumption goods,Consumption goods,-619
1987-06-01,Consumption goods,Consumption goods,-667
1987-07-01,Consumption goods,Consumption goods,-753
1987-08-01,Consumption goods,Consumption goods,-747
1987-09-01,Consumption goods,Consumption goods,-716
1987-10-01,Consumption goods,Consumption goods,-823
1987-11-01,Consumption goods,Consumption goods,-820
1987-12-01,Consumption goods,Consumption goods,-829
1988-01-01,Consumption goods,Consumption goods,-712
1988-02-01,Consumption goods,Consumption goods,-890
1988-03-01,Consumption goods,Consumption goods,-893
1988-04-01,Consumption goods,Consumption goods,-701
1988-05-01,Consumption goods,Consumption goods,-750
1988-06-01,Consumption goods,Consumption goods,-747
1988-07-01,Consumption goods,Consumption goods,-877
1988-08-01,Consumption goods,Consumption goods,-936
1988-09-01,Consumption goods,Consumption goods,-865
1988-10-01,Consumption goods,Consumption goods,-1025
1988-11-01,Consumption goods,Consumption goods,-1050
1988-12-01,Consumption goods,Consumption goods,-944
1989-01-01,Consumption goods,Consumption goods,-968
1989-02-01,Consumption goods,Consumption goods,-947
1989-03-01,Consumption goods,Consumption goods,-988
1989-04-01,Consumption goods,Consumption goods,-905
1989-05-01,Consumption goods,Consumption goods,-1017
1989-06-01,Consumption goods,Consumption goods,-942
1989-07-01,Consumption goods,Consumption goods,-1076
1989-08-01,Consumption goods,Consumption goods,-1287
1989-09-01,Consumption goods,Consumption goods,-1047
1989-10-01,Consumption goods,Consumption goods,-1153
1989-11-01,Consumption goods,Consumption goods,-1117
1989-12-01,Consumption goods,Consumption goods,-928
1990-01-01,Consumption goods,Consumption goods,-1005
1990-02-01,Consumption goods,Consumption goods,-916
1990-03-01,Consumption goods,Consumption goods,-1033
1990-04-01,Consumption goods,Consumption goods,-823
1990-05-01,Consumption goods,Consumption goods,-953
1990-06-01,Consumption goods,Consumption goods,-845
1990-07-01,Consumption goods,Consumption goods,-1114
1990-08-01,Consumption goods,Consumption goods,-1164
1990-09-01,Consumption goods,Consumption goods,-1000
1990-10-01,Consumption goods,Consumption goods,-1225
1990-11-01,Consumption goods,Consumption goods,-1214
1990-12-01,Consumption goods,Consumption goods,-878
1991-01-01,Consumption goods,Consumption goods,-1020
1991-02-01,Consumption goods,Consumption goods,-979
1991-03-01,Consumption goods,Consumption goods,-933
1991-04-01,Consumption goods,Consumption goods,-979
1991-05-01,Consumption goods,Consumption goods,-963
1991-06-01,Consumption goods,Consumption goods,-849
1991-07-01,Consumption goods,Consumption goods,-1130
1991-08-01,Consumption goods,Consumption goods,-1080
1991-09-01,Consumption goods,Consumption goods,-1123
1991-10-01,Consumption goods,Consumption goods,-1275
1991-11-01,Consumption goods,Consumption goods,-1215
1991-12-01,Consumption goods,Consumption goods,-1096
1992-01-01,Consumption goods,Consumption goods,-1126
1992-02-01,Consumption goods,Consumption goods,-1113
1992-03-01,Consumption goods,Consumption goods,-1247
1992-04-01,Consumption goods,Consumption goods,-1085
1992-05-01,Consumption goods,Consumption goods,-1020
1992-06-01,Consumption goods,Consumption goods,-1172
1992-07-01,Consumption goods,Consumption goods,-1395
1992-08-01,Consumption goods,Consumption goods,-1310
1992-09-01,Consumption goods,Consumption goods,-1398
1992-10-01,Consumption goods,Consumption goods,-1539
1992-11-01,Consumption goods,Consumption goods,-1445
1992-12-01,Consumption goods,Consumption goods,-1319
1993-01-01,Consumption goods,Consumption goods,-1136
1993-02-01,Consumption goods,Consumption goods,-1224
1993-03-01,Consumption goods,Consumption goods,-1405
1993-04-01,Consumption goods,Consumption goods,-1278
1993-05-01,Consumption goods,Consumption goods,-1246
1993-06-01,Consumption goods,Consumption goods,-1245
1993-07-01,Consumption goods,Consumption goods,-1546
1993-08-01,Consumption goods,Consumption goods,-1528
1993-09-01,Consumption goods,Consumption goods,-1532
1993-10-01,Consumption goods,Consumption goods,-1602
1993-11-01,Consumption goods,Consumption goods,-1612
1993-12-01,Consumption goods,Consumption goods,-1401
1994-01-01,Consumption goods,Consumption goods,-1243
1994-02-01,Consumption goods,Consumption goods,-1236
1994-03-01,Consumption goods,Consumption goods,-1496
1994-04-01,Consumption goods,Consumption goods,-1282
1994-05-01,Consumption goods,Consumption goods,-1454
1994-06-01,Consumption goods,Consumption goods,-1335
1994-07-01,Consumption goods,Consumption goods,-1606
1994-08-01,Consumption goods,Consumption goods,-1728
1994-09-01,Consumption goods,Consumption goods,-1715
1994-10-01,Consumption goods,Consumption goods,-1784
1994-11-01,Consumption goods,Consumption goods,-1844
1994-12-01,Consumption goods,Consumption goods,-1559
1995-01-01,Consumption goods,Consumption goods,-1504
1995-02-01,Consumption goods,Consumption goods,-1398
1995-03-01,Consumption goods,Consumption goods,-1728
1995-04-01,Consumption goods,Consumption goods,-1423
1995-05-01,Consumption goods,Consumption goods,-1699
1995-06-01,Consumption goods,Consumption goods,-1450
1995-07-01,Consumption goods,Consumption goods,-1904
1995-08-01,Consumption goods,Consumption goods,-1879
1995-09-01,Consumption goods,Consumption goods,-1674
1995-10-01,Consumption goods,Consumption goods,-1858
1995-11-01,Consumption goods,Consumption goods,-1870
1995-12-01,Consumption goods,Consumption goods,-1585
1996-01-01,Consumption goods,Consumption goods,-1534
1996-02-01,Consumption goods,Consumption goods,-1587
1996-03-01,Consumption goods,Consumption goods,-1456
1996-04-01,Consumption goods,Consumption goods,-1557
1996-05-01,Consumption goods,Consumption goods,-1641
1996-06-01,Consumption goods,Consumption goods,-1345
1996-07-01,Consumption goods,Consumption goods,-1938
1996-08-01,Consumption goods,Consumption goods,-1909
1996-09-01,Consumption goods,Consumption goods,-1801
1996-10-01,Consumption goods,Consumption goods,-2076
1996-11-01,Consumption goods,Consumption goods,-1880
1996-12-01,Consumption goods,Consumption goods,-1733
1997-01-01,Consumption goods,Consumption goods,-1566
1997-02-01,Consumption goods,Consumption goods,-1658
1997-03-01,Consumption goods,Consumption goods,-1541
1997-04-01,Consumption goods,Consumption goods,-1779
1997-05-01,Consumption goods,Consumption goods,-1657
1997-06-01,Consumption goods,Consumption goods,-1761
1997-07-01,Consumption goods,Consumption goods,-2228
1997-08-01,Consumption goods,Consumption goods,-2047
1997-09-01,Consumption goods,Consumption goods,-2214
1997-10-01,Consumption goods,Consumption goods,-2404
1997-11-01,Consumption goods,Consumption goods,-2111
1997-12-01,Consumption goods,Consumption goods,-2246
1998-01-01,Consumption goods,Consumption goods,-2038
1998-02-01,Consumption goods,Consumption goods,-1957
1998-03-01,Consumption goods,Consumption goods,-2302
1998-04-01,Consumption goods,Consumption goods,-2115
1998-05-01,Consumption goods,Consumption goods,-2102
1998-06-01,Consumption goods,Consumption goods,-2414
1998-07-01,Consumption goods,Consumption goods,-2582
1998-08-01,Consumption goods,Consumption goods,-2459
1998-09-01,Consumption goods,Consumption goods,-2593
1998-10-01,Consumption goods,Consumption goods,-2741
1998-11-01,Consumption goods,Consumption goods,-2452
1998-12-01,Consumption goods,Consumption goods,-2332
1999-01-01,Consumption goods,Consumption goods,-1959
1999-02-01,Consumption goods,Consumption goods,-2224
1999-03-01,Consumption goods,Consumption goods,-2548
1999-04-01,Consumption goods,Consumption goods,-2199
1999-05-01,Consumption goods,Consumption goods,-2130
1999-06-01,Consumption goods,Consumption goods,-2295
1999-07-01,Consumption goods,Consumption goods,-2606
1999-08-01,Consumption goods,Consumption goods,-2682
1999-09-01,Consumption goods,Consumption goods,-2770
1999-10-01,Consumption goods,Consumption goods,-2764
1999-11-01,Consumption goods,Consumption goods,-2796
1999-12-01,Consumption goods,Consumption goods,-2454
2000-01-01,Consumption goods,Consumption goods,-2156
2000-02-01,Consumption goods,Consumption goods,-2484
2000-03-01,Consumption goods,Consumption goods,-2728
2000-04-01,Consumption goods,Consumption goods,-2316
2000-05-01,Consumption goods,Consumption goods,-2705
2000-06-01,Consumption goods,Consumption goods,-2684
2000-07-01,Consumption goods,Consumption goods,-3138
2000-08-01,Consumption goods,Consumption goods,-3327
2000-09-01,Consumption goods,Consumption goods,-3103
2000-10-01,Consumption goods,Consumption goods,-3448
2000-11-01,Consumption goods,Consumption goods,-3510
2000-12-01,Consumption goods,Consumption goods,-2873
2001-01-01,Consumption goods,Consumption goods,-2667
2001-02-01,Consumption goods,Consumption goods,-2567
2001-03-01,Consumption goods,Consumption goods,-3067
2001-04-01,Consumption goods,Consumption goods,-2862
2001-05-01,Consumption goods,Consumption goods,-2830
2001-06-01,Consumption goods,Consumption goods,-2797
2001-07-01,Consumption goods,Consumption goods,-3197
2001-08-01,Consumption goods,Consumption goods,-3396
2001-09-01,Consumption goods,Consumption goods,-3094
2001-10-01,Consumption goods,Consumption goods,-3773
2001-11-01,Consumption goods,Consumption goods,-3475
2001-12-01,Consumption goods,Consumption goods,-2803
2002-01-01,Consumption goods,Consumption goods,-2829
2002-02-01,Consumption goods,Consumption goods,-3088
2002-03-01,Consumption goods,Consumption goods,-2926
2002-04-01,Consumption goods,Consumption goods,-3212
2002-05-01,Consumption goods,Consumption goods,-3127
2002-06-01,Consumption goods,Consumption goods,-2945
2002-07-01,Consumption goods,Consumption goods,-3716
2002-08-01,Consumption goods,Consumption goods,-3648
2002-09-01,Consumption goods,Consumption goods,-3745
2002-10-01,Consumption goods,Consumption goods,-4049
2002-11-01,Consumption goods,Consumption goods,-3786
2002-12-01,Consumption goods,Consumption goods,-3383
2003-01-01,Consumption goods,Consumption goods,-3221
2003-02-01,Consumption goods,Consumption goods,-3201
2003-03-01,Consumption goods,Consumption goods,-3167
2003-04-01,Consumption goods,Consumption goods,-3423
2003-05-01,Consumption goods,Consumption goods,-3245
2003-06-01,Consumption goods,Consumption goods,-3246
2003-07-01,Consumption goods,Consumption goods,-3632
2003-08-01,Consumption goods,Consumption goods,-3496
2003-09-01,Consumption goods,Consumption goods,-4033
2003-10-01,Consumption goods,Consumption goods,-4190
2003-11-01,Consumption goods,Consumption goods,-3610
2003-12-01,Consumption goods,Consumption goods,-3594
2004-01-01,Consumption goods,Consumption goods,-3269
2004-02-01,Consumption goods,Consumption goods,-3137
2004-03-01,Consumption goods,Consumption goods,-3730
2004-04-01,Consumption goods,Consumption goods,-3558
2004-05-01,Consumption goods,Consumption goods,-3530
2004-06-01,Consumption goods,Consumption goods,-3858
2004-07-01,Consumption goods,Consumption goods,-4059
2004-08-01,Consumption goods,Consumption goods,-4005
2004-09-01,Consumption goods,Consumption goods,-4441
2004-10-01,Consumption goods,Consumption goods,-4283
2004-11-01,Consumption goods,Consumption goods,-4373
2004-12-01,Consumption goods,Consumption goods,-3893
2005-01-01,Consumption goods,Consumption goods,-3777
2005-02-01,Consumption goods,Consumption goods,-3775
2005-03-01,Consumption goods,Consumption goods,-3759
2005-04-01,Consumption goods,Consumption goods,-3972
2005-05-01,Consumption goods,Consumption goods,-3768
2005-06-01,Consumption goods,Consumption goods,-3970
2005-07-01,Consumption goods,Consumption goods,-4109
2005-08-01,Consumption goods,Consumption goods,-4575
2005-09-01,Consumption goods,Consumption goods,-4631
2005-10-01,Consumption goods,Consumption goods,-4340
2005-11-01,Consumption goods,Consumption goods,-4980
2005-12-01,Consumption goods,Consumption goods,-4248
2006-01-01,Consumption goods,Consumption goods,-4026
2006-02-01,Consumption goods,Consumption goods,-3882
2006-03-01,Consumption goods,Consumption goods,-4395
2006-04-01,Consumption goods,Consumption goods,-4199
2006-05-01,Consumption goods,Consumption goods,-4531
2006-06-01,Consumption goods,Consumption goods,-4560
2006-07-01,Consumption goods,Consumption goods,-4636
2006-08-01,Consumption goods,Consumption goods,-5015
2006-09-01,Consumption goods,Consumption goods,-5051
2006-10-01,Consumption goods,Consumption goods,-5596
2006-11-01,Consumption goods,Consumption goods,-5473
2006-12-01,Consumption goods,Consumption goods,-4689
2007-01-01,Consumption goods,Consumption goods,-4583
2007-02-01,Consumption goods,Consumption goods,-4600
2007-03-01,Consumption goods,Consumption goods,-4674
2007-04-01,Consumption goods,Consumption goods,-4551
2007-05-01,Consumption goods,Consumption goods,-4656
2007-06-01,Consumption goods,Consumption goods,-4582
2007-07-01,Consumption goods,Consumption goods,-4870
2007-08-01,Consumption goods,Consumption goods,-5298
2007-09-01,Consumption goods,Consumption goods,-5175
2007-10-01,Consumption goods,Consumption goods,-5859
2007-11-01,Consumption goods,Consumption goods,-5815
2007-12-01,Consumption goods,Consumption goods,-5067
2008-01-01,Consumption goods,Consumption goods,-5092
2008-02-01,Consumption goods,Consumption goods,-5071
2008-03-01,Consumption goods,Consumption goods,-4879
2008-04-01,Consumption goods,Consumption goods,-5242
2008-05-01,Consumption goods,Consumption goods,-5325
2008-06-01,Consumption goods,Consumption goods,-5056
2008-07-01,Consumption goods,Consumption goods,-5561
2008-08-01,Consumption goods,Consumption goods,-5344
2008-09-01,Consumption goods,Consumption goods,-5827
2008-10-01,Consumption goods,Consumption goods,-6461
2008-11-01,Consumption goods,Consumption goods,-6142
2008-12-01,Consumption goods,Consumption goods,-5845
2009-01-01,Consumption goods,Consumption goods,-5050
2009-02-01,Consumption goods,Consumption goods,-4243
2009-03-01,Consumption goods,Consumption goods,-5179
2009-04-01,Consumption goods,Consumption goods,-4937
2009-05-01,Consumption goods,Consumption goods,-4767
2009-06-01,Consumption goods,Consumption goods,-5154
2009-07-01,Consumption goods,Consumption goods,-5693
2009-08-01,Consumption goods,Consumption goods,-5201
2009-09-01,Consumption goods,Consumption goods,-5855
2009-10-01,Consumption goods,Consumption goods,-6165
2009-11-01,Consumption goods,Consumption goods,-5997
