            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"International Trade: Supplementary Information, Calendar Year, 2024",,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 29 April 2025,,,,,,,,,,,,,,,,,,,,,,,
"Table 1 Merchandise Exports, by Selected Countries, by Six Month Aggregates, FOB Value, $m",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Free on Board (FOB) Value (a),,,,,,,,,,,,,,,,,,,,,,
,($m),,,,,,,,,,,,,,,,,,,,,,
Country of Final Destination,July 2013 to December 2013,January 2014 to June 2014,July 2014 to December 2014,January 2015 to June 2015,July 2015 to December 2015,January 2016 to June 2016,July 2016 to December 2016,January 2017 to June 2017,July 2017 to December 2017,January 2018 to June 2018,July 2018 to December 2018,January 2019 to June 2019,July 2019 to December 2019,January 2020 to June 2020,July 2020 to December 2020,January 2021 to June 2021,July 2021 to December 2021,January 2022 to June 2022,July 2022 to December 2022,January 2023 to June 2023,July 2023 to December 2023,January 2024 to June 2024,July 2024 to December 2024 (b)
Argentina,np,np,np,np,np,np,np,182,162,180,np,np,np,96,np,147,np,np,np,np,252,223,np
Bahrain,np,np,402,482,np,np,411,np,407,np,783,np,np,np,576,564,759,809,832,860,785,974,1327
Belgium,np,np,456,680,563,np,485,775,483,631,334,850,523,505,379,760,591,1251,1369,1061,930,1020,1111
Brazil,np,411,667,556,586,394,768,759,np,779,645,630,460,380,404,646,1390,1705,1115,1092,864,1059,666
Brunei Darussalam,21,19,np,np,np,21,21,19,np,26,np,24,27,25,362,153,344,212,np,218,389,441,265
Cambodia,np,np,np,np,np,np,np,np,np,np,28,33,52,58,64,42,47,48,54,67,56,45,54
Canada,667,np,668,737,825,np,np,np,np,np,np,1182,1028,np,1045,1078,930,1164,1352,1425,1526,1184,np
Chile,218,np,130,149,183,197,np,np,205,np,np,np,148,np,207,185,401,762,np,411,277,194,143
China (excludes SARs and Taiwan),47867,44070,38906,36495,39241,36091,46172,49388,50789,55744,62908,71971,77258,74121,73707,94002,85954,85208,90430,102021,102365,94157,85075
Fiji,164,144,177,154,215,203,219,195,229,230,243,227,230,177,173,187,214,299,296,283,317,278,303
Finland,np,np,np,np,np,np,np,np,np,np,np,30,45,21,120,107,125,200,394,139,206,177,189
France,567,619,522,568,549,np,683,748,674,880,np,764,824,547,1296,1055,864,1756,1425,1234,1282,1401,1097
Germany,950,864,834,770,1097,1105,1310,np,1056,1460,1264,1529,1516,2049,1759,1934,1632,3065,2116,1968,1561,1662,1726
Greece,np,np,np,np,np,np,np,np,np,np,np,np,np,np,36,np,np,57,np,np,np,np,np
Hong Kong (SAR of China),5665,5226,4673,4462,4583,4288,5729,7197,4860,6532,3821,4086,3434,3477,3350,2832,3116,4548,2958,3601,6202,8044,3896
