            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"International Trade: Supplementary Information, Calendar Year, 2024",,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 29 April 2025,,,,,,,,,,,,,,,,,,,,,,,
"Table 2 Merchandise Imports, by Selected Countries, by Six Month Aggregates, Customs Value, $m",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Customs Value (a),,,,,,,,,,,,,,,,,,,,,,
,($m),,,,,,,,,,,,,,,,,,,,,,
Country of Origin,July 2013 to December 2013,January 2014 to June 2014,July 2014 to December 2014,January 2015 to June 2015,July 2015 to December 2015,January 2016 to June 2016,July 2016 to December 2016,January 2017 to June 2017,July 2017 to December 2017,January 2018 to June 2018,July 2018 to December 2018,January 2019 to June 2019,July 2019 to December 2019,January 2020 to June 2020,July 2020 to December 2020,January 2021 to June 2021,July 2021 to December 2021,January 2022 to June 2022,July 2022 to December 2022,January 2023 to June 2023,July 2023 to December 2023 ,January 2024 to June 2024,July 2024 to December 2024 (b)
Argentina,np,321,np,np,497,293,np,370,np,327,382,409,346,381,357,434,358,420,624,285,395,348,453
Bahrain,34,34,36,56,34,34,26,32,np,44,52,56,31,87,np,40,77,176,71,139,83,64,104
Belgium,861,883,866,797,843,np,np,938,1046,1049,1053,862,995,986,896,np,2143,1399,1446,1731,1360,1482,1681
Brazil,np,np,312,np,344,360,396,357,np,np,451,412,np,403,474,445,455,582,727,724,np,773,733
Brunei Darussalam,np,np,np,np,np,106,209,73,np,np,np,np,655,678,675,840,1340,1517,2536,1291,2115,1942,1409
Cambodia,41,60,59,73,89,93,120,np,84,82,102,122,149,129,182,123,229,307,388,362,359,434,492
Canada,1087,1042,1112,1153,1196,np,np,1023,1124,np,np,np,np,np,1154,1283,1421,np,2157,np,2352,np,np
Chile,np,np,np,673,201,298,235,np,207,np,251,221,313,280,239,357,271,258,201,205,183,229,185
China (excludes SARs and Taiwan),26915,23177,28903,28199,33586,27887,31618,29876,34643,33474,41408,36838,42652,38367,46211,41054,50495,51149,60657,50136,54603,53026,57392
Fiji,np,np,84,np,np,93,98,82,np,np,89,86,91,85,98,90,96,83,89,79,98,100,124
Finland,np,np,384,np,np,np,375,400,np,np,np,656,np,772,634,675,757,725,776,830,804,772,710
France,2493,2350,np,2040,np,np,np,2325,2576,np,2799,2924,3242,2927,2965,np,2951,np,np,np,np,np,np
Germany,6430,5858,6168,5787,np,np,np,6601,7130,7586,7450,7614,7028,6675,6980,7242,7084,8408,np,np,np,np,np
Greece,np,np,105,np,102,np,111,107,124,128,137,136,165,182,180,190,167,194,216,179,167,171,203
Hong Kong (SAR of China),646,558,641,574,np,np,np,360,np,np,331,np,290,np,759,377,np,np,np,655,351,288,345
India,1341,1518,1559,2245,2524,2233,2134,2334,2775,2769,2726,2198,2475,2283,3119,3342,4804,5758,4143,4026,5037,4710,6763
Indonesia,np,np,2902,2440,3187,2474,np,2093,2108,2394,2603,2454,2575,2309,2404,2578,2374,2759,2940,2770,2867,np,4630
Ireland,788,747,826,np,np,1291,1440,872,945,np,995,899,994,987,981,1062,1049,1305,1571,1233,1161,1336,1225
Italy,3145,2874,3236,2748,3147,2863,3037,2971,3270,3413,3625,3481,3642,3080,3650,3716,3847,4446,4803,4653,4916,4666,4765
